source,target,value
用户168,用户472,668
用户168,用户912,1212
用户978,用户207,124
用户429,用户401,437
用户159,用户356,9
用户159,用户912,30
用户947,用户774,2176
用户67,用户165,251
用户772,用户454,115
用户569,用户951,19
用户569,用户415,69
用户772,用户951,35
用户569,用户605,85
用户159,用户214,181
用户428,用户915,503
用户629,用户24,605
用户772,用户120,174
用户629,用户159,13
用户429,用户454,407
用户912,用户168,1197
用户912,用户472,273
用户454,用户401,349
用户454,用户429,347
用户530,用户629,506
用户530,用户891,400
用户720,用户135,30
用户718,用户61,395
用户569,用户502,80
用户912,用户159,26
用户540,用户987,72
用户692,用户159,5
用户692,用户334,15
用户629,用户530,610
用户67,用户207,345
用户629,用户891,654
用户90,用户978,23
用户280,用户629,166
用户159,用户935,6
用户948,用户927,13
用户948,用户120,103
用户948,用户629,5
用户948,用户592,74
用户948,用户416,160
用户948,用户165,11
用户987,用户540,397
用户135,用户720,50
用户316,用户915,431
用户592,用户927,287
用户915,用户428,539
用户356,用户765,306
用户951,用户502,32
用户915,用户718,81
用户915,用户200,283
用户200,用户915,184
用户280,用户915,130
用户280,用户530,181
用户418,用户996,1248
用户948,用户267,60
用户24,用户530,95
用户530,用户24,130
用户951,用户569,11
用户90,用户428,17
用户90,用户200,8
用户891,用户629,368
用户738,用户14,57
用户738,用户923,144
用户738,用户506,53
用户738,用户996,58
用户428,用户90,9
用户746,用户692,457
用户200,用户90,2
用户912,用户356,302
用户500,用户782,169
用户232,用户912,57
用户232,用户168,200
用户61,用户718,534
用户356,用户472,753
用户356,用户159,6
用户168,用户232,282
用户472,用户356,258
用户165,用户401,451
用户165,用户67,321
用户401,用户415,607
用户401,用户429,692
用户401,用户454,420
用户415,用户569,47
用户415,用户401,109
用户629,用户280,380
用户629,用户630,401
用户978,用户629,24
用户607,用户978,4
用户630,用户530,172
用户629,用户978,35
用户978,用户607,3
用户90,用户746,16
用户592,用户454,290
用户530,用户630,159
用户746,用户90,6
用户454,用户772,123
用户454,用户120,102
用户159,用户923,83
用户135,用户540,5
用户214,用户428,16
用户214,用户915,7
用户316,用户159,19
用户207,用户165,84
用户692,用户746,111
用户159,用户316,20
用户977,用户418,651
用户418,用户977,331
用户951,用户692,2
用户280,用户24,174
用户334,用户629,5
用户334,用户530,8
用户450,用户947,47
用户530,用户334,4
用户765,用户214,43
用户923,用户772,75
用户923,用户120,60
用户214,用户765,38
用户629,用户214,34
用户356,用户912,414
用户978,用户159,8
用户334,用户159,96
用户742,用户214,84
用户742,用户159,77
用户502,用户951,12
用户159,用户742,45
用户472,用户168,386
用户951,用户738,15
用户738,用户951,10
用户214,用户912,50
用户14,用户506,200
用户159,用户978,15
用户159,用户502,19
用户159,用户569,3
用户502,用户159,22
用户428,用户200,118
用户718,用户915,38
用户607,用户502,37
用户607,用户718,49
用户334,用户718,32
用户782,用户500,34
用户923,用户159,57
用户569,用户159,5
用户935,用户90,4
用户90,用户935,11
用户586,用户267,395
用户915,用户530,89
用户416,用户948,65
用户416,用户147,96
用户506,用户996,151
用户207,用户630,20
用户61,用户692,50
用户935,用户214,32
用户214,用户935,20
用户630,用户207,19
用户605,用户569,17
用户630,用户891,50
用户891,用户630,48
用户428,用户316,250
用户948,用户500,18
用户948,用户168,40
用户90,用户107,63
用户935,用户159,3
用户334,用户607,124
用户592,用户948,48
用户334,用户692,94
用户772,用户923,69
用户454,用户592,202
用户120,用户772,203
用户159,用户891,5
用户159,用户450,17
用户120,用户927,22
用户923,用户214,94
用户948,用户232,2
用户772,用户927,12
用户607,用户742,15
用户607,用户692,64
用户159,用户915,21
用户607,用户334,93
用户168,用户948,47
用户915,用户923,37
用户915,用户356,10
用户915,用户159,18
用户915,用户280,35
用户506,用户14,161
用户214,用户159,158
用户159,用户607,28
用户159,用户692,12
用户159,用户334,17
用户168,用户356,307
用户165,用户948,5
用户232,用户948,1
用户147,用户416,38
用户267,用户629,42
用户267,用户891,171
用户267,用户948,23
用户891,用户267,211
用户472,用户912,145
用户24,用户629,208
用户500,用户159,26
用户214,用户629,59
用户927,用户948,12
用户927,用户147,23
用户927,用户629,11
用户90,用户987,11
用户356,用户586,98
用户416,用户356,99
用户159,用户500,18
用户90,用户506,35
用户506,用户90,21
用户977,用户569,3
用户334,用户923,48
用户506,用户738,15
用户586,用户356,157
用户692,用户135,55
用户168,用户607,31
用户168,用户790,174
用户790,用户168,192
用户790,用户912,9
用户316,用户200,182
用户416,用户168,118
用户605,用户502,80
用户774,用户947,2816
用户530,用户915,54
用户530,用户280,79
用户569,用户915,1
用户569,用户280,2
用户569,用户530,2
用户891,用户530,296
用户90,用户692,34
用户772,用户61,5
用户772,用户586,10
用户61,用户356,78
